Name,Gender,Party,Constituency,State,Educational Qualification,Education Details,Age,Start of Term,End of Term,Number of Term,Attendance,Total Expenditure (Crores) (LS 16),Total Works (LS 16),  LS 17 debates,  LS 16 debates,  LS 17 special mention,  LS 16 special mention,  LS 17 question,  LS 16 question,  LS 17 supplementary question,  LS 16 supplementary question,  LS 17 government bill,  LS 16 government bill,  LS 17 private member bill,  LS 16 private member bill,  LS 17 private member resolution,  LS 16 private member resolution,  LS 17 commitee membership,  LS 16 commitee membership
"Babul Supriyo, Shri ",Male,Bharatiya Janata Party(BJP),Asansol,West Bengal,Graduate,B.Com (Hons.),49,23-May-19,In office,Second Term,N/A,1.62,97,9,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Badal, Smt. Harsimrat Kau",Female,Shiromani Akali Dal(SAD),Bathinda,#N/A,Graduate,Degree in Dress designing,54,23-May-19,In office,Third Term,N/A,#N/A,#N/A,1,15,0,2,5,0,0,0,1,3,0,0,0,0,1,0
"Badal, Shri Sukhbir Singh",#N/A,Shiromani Akali Dal(SAD),Ferozpur,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,10,0,1,0,11,0,0,0,1,0,0,0,0,0,1,0
"Baghel, Prof. S.P. Singh",Male,Bharatiya Janata Party(BJP),Agra,#N/A,Doctorate,"M.Sc., LL.B., Ph.D. Educated at Jiwaji University, Gwalior (Madhya Pradesh), Meerut University and Chaudhary Charan Singh University, Meerut (Uttar Pradesh)",60,23-May-19,In office,Fourth Term,94%,#N/A,#N/A,16,0,4,0,5,0,0,0,6,0,0,0,0,0,2,0
"Baghel, Shri Vijay",#N/A,Bharatiya Janata Party(BJP),Durg,Chhattisgarh,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,5.25,1210,13,0,9,0,64,0,1,0,0,0,0,0,0,0,1,0
"Baheria, Shri Subhash Chand",#N/A,Bharatiya Janata Party(BJP),Bhilwara,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,28,69,13,17,9,47,0,0,1,10,0,0,0,0,3,7
"Baij, Shri Deepak",Male,Indian National Congress(INC),Bastar,#N/A,Information Not Available,Information Not Available,39,23-May-19,In office,First Term,81%,#N/A,#N/A,14,0,7,0,116,0,3,0,0,0,0,0,0,0,1,0
"Balyan, Dr. Sanjeev Ku",Male,Bharatiya Janata Party(BJP),Muzaffarnagar,Uttar Pradesh,Doctorate,Ph.D. in Veterinary Anatomy,48,23-May-19,In office,Second Term,N/A,0,332,7,53,1,4,0,8,0,0,0,0,0,1,0,1,0,0
"Bandi, Shri Sanjay Ku",Male,Bharatiya Janata Party(BJP),Karimnagar,Telangana,Information Not Available,Information Not Available,49,23-May-19,In office,First Term,96%,7.97,592,4,0,2,0,23,0,0,0,0,0,0,0,0,0,2,0
"Bandyopadhyay, Shri Sudi",#N/A,All India Trinamool Congress(AITC),Kolkata Uttar,West Bengal,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,8.54,312,35,81,12,13,0,0,0,0,2,5,0,0,0,0,4,24
"Banerjee,  Shri Abhishek",Male,All India Trinamool Congress(AITC),Diamond Harbour,West Bengal,Post Graduate,Post Graduate,32,23-May-19,In office,Second Term,14%,15.16,720,2,3,0,0,1,47,0,0,1,0,0,0,0,0,1,1
"Banerjee, Shri Kaly",Male,All India Trinamool Congress(AITC),Serampore,#N/A,Professional Graduate,"B.Com., LL.B; Educated at Bankura Samilani College, Bankura",63,23-May-19,In office,Third Term,71%,#N/A,#N/A,51,59,9,6,24,83,0,4,21,29,0,0,0,0,4,17
"Banerjee, Shri Prasu",Male,All India Trinamool Congress(AITC),Howrah,West Bengal,Graduate,B.Sc.,65,23-May-19,In office,Third Term,71%,16.86,393,11,5,7,3,58,79,1,3,1,0,0,0,0,0,0,5
"Bapat, Shri Girish Bhalchand",Male,Bharatiya Janata Party(BJP),Pune,Maharashtra,Graduate,"B.Com Educated at B.M.C.C. College of Commerce, Pune",70,23-May-19,In office,First Term,86%,0,212,17,0,5,0,93,0,1,0,2,0,0,0,0,0,3,0
"Barla, Shri  Joh",Male,Bharatiya Janata Party(BJP),Alipurduars,#N/A,Under Matric,IX Pass,45,23-May-19,In office,First Term,98%,#N/A,#N/A,12,0,7,0,38,0,0,0,0,0,0,0,0,0,1,0
"Barne, Shri Shrirang A",#N/A,Shiv Sena(SS),Maval,Maharashtra,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,224,77,304,48,208,257,1001,2,5,4,6,3,20,0,0,1,5
"Barq, Shri Shafiqur Rah",Male,Samajwadi Party(SP),Sambhal,Uttar Pradesh,Graduate,"B.A.; Educated at Agra University, Agra, Uttar Pradesh",90,23-May-19,In office,Fifth Term,99%,0,3,6,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0
