Name,Gender,Party,Constituency,State,Educational Qualification,Education Details,Age,Start of Term,End of Term,Number of Term,Attendance,Total Expenditure (Crores) (LS 16),Total Works (LS 16),  LS 17 debates,  LS 16 debates,  LS 17 special mention,  LS 16 special mention,  LS 17 question,  LS 16 question,  LS 17 supplementary question,  LS 16 supplementary question,  LS 17 government bill,  LS 16 government bill,  LS 17 private member bill,  LS 16 private member bill,  LS 17 private member resolution,  LS 16 private member resolution,  LS 17 commitee membership,  LS 16 commitee membership
"Rajenimbalkar, Shri Omprakash Bhupalsingh alias Pav",Male,Shiv Sena(SS),Osmanabad,Maharashtra,Professional Graduate,"B.E. (Information Technology) Appeared IInd Year Educated at Sinhgad College of Engineering, University of Pune",37,23-May-19,In office,First Term,80%,3.56,239,20,0,11,0,79,0,1,0,1,0,0,0,0,0,1,0
"Rajkumar, Dr. Ranjan Singh",Male,Bharatiya Janata Party(BJP),Inner Manipur,#N/A,Doctorate,"M.A. (Geography), B.T. & PhD Educated at Guwahati University",68,23-May-19,In office,First Term,91%,#N/A,#N/A,10,0,6,0,10,0,1,0,1,0,0,0,0,0,1,0
"Rajoria, Dr. Manoj",Male,Bharatiya Janata Party(BJP),Karauli-Dholpur,#N/A,Professional Post Graduate,"B.H.M.S., M.D.(Homoeopathy)",50,23-May-19,In office,Second Term,98%,#N/A,#N/A,37,292,21,229,84,425,2,5,1,6,4,14,0,1,1,1
"Rajput, Shri Mukesh",Male,Bharatiya Janata Party(BJP),Farrukhabad,Uttar Pradesh,Graduate,B.Sc.,52,23-May-19,In office,Second Term,95%,1.85,165,19,47,8,24,35,34,0,0,0,0,0,1,1,0,1,10
"Ram, Shri Vishnu Dayal",#N/A,Bharatiya Janata Party(BJP),Palamu,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,35,96,6,36,118,413,4,3,2,0,2,8,1,0,2,16
"Ram Mohan Naidu, Shri Kinjarapu",Male,Telugu Desam Party(TDP),Srikakulam,Andhra Pradesh,Professional Post Graduate,M.B.A,32,23-May-19,In office,Second Term,93%,0,829,45,96,9,37,82,448,1,1,14,7,0,1,0,0,2,7
"Ramalingam, Shri S",Male,Dravida Munnetra Kazhagam(DMK),Mayiladuthurai,Tamil Nadu,Information Not Available,Information Not Available,77,23-May-19,In office,First Term,86%,1.65,105,7,0,2,0,32,0,0,0,0,0,0,0,0,0,2,0
"Ramesh, Shri T.R.V.S",#N/A,Dravida Munnetra Kazhagam(DMK),Cuddalore,Tamil Nadu,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,11.38,413,5,0,3,0,36,0,1,0,0,0,0,0,0,0,0,0
"Rana, Smt Navneet Ravi",Female,Independent(Ind.),Amravati,#N/A,Graduate,Bachelor of Commerce (B.Com),35,23-May-19,In office,First Term,74%,#N/A,#N/A,31,0,12,0,16,0,0,0,3,0,0,0,0,0,2,0
"Rangaiah, Shri Talari",#N/A,Yuvajana Sramika Rythu Congress Party(YSR Congress Party),Anantapur,Andhra Pradesh,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,103,11,0,2,0,56,0,1,0,2,0,0,0,0,0,2,0
"Rao, Shri Nama Nagesw",Male,Telangana Rashtra Samithi(TRS),Khammam,Telangana,Inter/ Higher Secondary,0,63,23-May-19,In office,Second Term,98%,2.42,1577,41,0,1,0,60,0,0,0,10,0,0,0,0,0,3,0
"Rao, Shri Soyam Bapu",#N/A,Bharatiya Janata Party(BJP),Adilabad,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,8,0,8,0,28,0,0,0,0,0,0,0,0,0,1,0
Rao Inderjit Singh,Male,Bharatiya Janata Party(BJP),Gurgaon,Haryana,Professional Graduate,"B.A. (Hons), LL.B., Educated at University of Delhi, Delhi",70,23-May-19,In office,Fifth Term,N/A,1.04,127,4,57,0,0,0,0,0,0,0,2,0,1,0,0,0,0
"Rathod, Shri Dipsinh Shankarsinh",Male,Bharatiya Janata Party(BJP),Sabarkantha,Gujarat,Under Matric,Under Matric,68,23-May-19,In office,Second Term,100%,6.17,559,2,26,0,13,51,294,0,1,0,0,0,0,0,0,1,0
"Rathod, Shri Ratansinh Magansinh",Male,Bharatiya Janata Party(BJP),Panchmahal,Gujarat,Post Graduate,"M.A. (Sanskrit), B.Ed., Educated at Gujarat University, Ahmedabad",60,23-May-19,In office,First Term,96%,8.43,493,5,0,1,0,16,0,0,0,0,0,0,0,0,0,0,0
"Rathore, Col. Rajyavardhan Singh",Male,Bharatiya Janata Party(BJP),Jaipur Rural,Rajasthan,Graduate,B.A,50,23-May-19,In office,Second Term,81%,0,1,6,52,0,0,46,8,0,0,2,2,0,1,0,0,4,0
"Rathva, Smt. Gitaben Vajesingbhai",Female,Bharatiya Janata Party(BJP),Chhota Udaipur,#N/A,Information Not Available,Information Not Available,48,23-May-19,In office,First Term,98%,#N/A,#N/A,15,0,5,0,159,0,0,0,0,0,0,0,0,0,2,0
"Raut, Shri Vinayak Bhau",#N/A,Shiv Sena(SS),Ratnagiri-Sindhudurg,Maharashtra,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,397,54,129,18,61,189,1027,3,6,9,22,0,2,0,0,4,6
"Ravikumar, Dr. D",Male,Dravida Munnetra Kazhagam(DMK),Viluppuram,#N/A,Doctorate,"M.A., B.L., Ph.d Educated at Tamil University, Thanjavur and Annamalai University, Tamil Nadu",60,23-May-19,In office,First Term,86%,#N/A,#N/A,31,0,7,0,57,0,2,0,5,0,1,0,0,0,1,0
"Ravindhranath, Shri ",Male,All India Anna Dravida Munnetra Kazhagam(AIADMK),Theni,Tamil Nadu,Information Not Available,Information Not Available,40,23-May-19,In office,First Term,74%,5.7,132,60,0,12,0,69,0,0,0,23,0,0,0,0,0,2,0
"Rawat, Shri Ashok Ku",Male,Bharatiya Janata Party(BJP),Misrikh,#N/A,Post Graduate,"M.A.; Educated at Lucknow University, Lucknow, Uttar Pradesh",44,23-May-19,In office,Third Term,93%,#N/A,#N/A,16,0,2,0,116,0,1,0,0,0,0,0,0,0,1,0
"Rawat, Shri Tirath Singh",#N/A,Bharatiya Janata Party(BJP),Garhwal,Uttarakhand,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.05,179,29,0,14,0,17,0,0,0,1,0,2,0,0,0,1,0
"Rawat, Shri  Upendra Singh",#N/A,Bharatiya Janata Party(BJP),Barabanki,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,6,0,3,0,93,0,0,0,0,0,0,0,0,0,1,0
"Ray, Smt. Sandhy",Female,Bharatiya Janata Party(BJP),Bhind,#N/A,Information Not Available,Information Not Available,46,23-May-19,In office,First Term,95%,#N/A,#N/A,9,0,7,0,30,0,1,0,0,0,0,0,0,0,1,0
"Ray, Prof. Sougat",Male,All India Trinamool Congress(AITC),Dum Dum,West Bengal,Post Graduate,"M.Sc., LL.B.; Jogesh Chandra Law College, Kolkata-33",73,23-May-19,In office,Fourth Term,91%,0.11,193,112,271,17,32,133,570,1,3,46,70,3,12,0,4,2,15
"Reddy, Shri Adala Prabhak",Male,Yuvajana Sramika Rythu Congress Party(YSR Congress Party),Nellore,#N/A,Inter/ Higher Secondary,Information Not Available,71,23-May-19,In office,First Term,81%,#N/A,#N/A,2,0,2,0,68,0,0,0,0,0,0,0,0,0,1,0
"Reddy, Shri Anumula Revanth",Male,Indian National Congress(INC),Malkajgiri,Telangana,Graduate,"B.A. Educated at A.V. College, Osmania University, Hyderabad, Telangana",52,23-May-19,In office,First Term,54%,12.05,268,12,0,5,0,54,0,0,0,1,0,0,0,0,0,1,0
"Reddy, Dr.  Gaddam Ranjith",#N/A,Telangana Rashtra Samithi(TRS),Chevella,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,24,0,4,0,77,0,0,0,2,0,0,0,0,0,1,0
"Reddy, Shri  Komati Reddy Venkat",Male,Indian National Congress(INC),Bhongir,Telangana,Inter/ Higher Secondary,"Intermediate Educated at NB Science College, Pathargatti, Hyderabad",57,23-May-19,In office,First Term,64%,0.03,283,11,0,4,0,93,0,1,0,0,0,0,0,0,0,1,0
"Reddy, Shri Kotha Prabhakar ",Male,Telangana Rashtra Samithi(TRS),Medak,Telangana,Graduate,"B.A., Govt. Degree College, Siddipet, Medak. A.P. from Osmania University",54,23-May-19,In office,Second Term,63%,6.01,361,22,17,3,7,120,376,0,1,8,1,0,0,0,0,0,5
"Reddy, Shri Magunta Sreenivasulu",Male,Yuvajana Sramika Rythu Congress Party(YSR Congress Party),Ongole,#N/A,Graduate,"B.Com; Educated at V.R. College, Nellore, Andhra Pradesh",66,23-May-19,In office,Fourth Term,70%,#N/A,#N/A,11,0,2,0,130,0,1,0,2,0,0,0,0,0,1,0
"Reddy, Shri Pocha Brahmanand",Male,Yuvajana Sramika Rythu Congress Party(YSR Congress Party),Nandyal,Andhra Pradesh,Post Graduate,"M.Sc. (Agriculture) Educated at Kanpur University, U.P.",62,23-May-19,In office,First Term,84%,1.56,1312,10,0,2,0,54,0,0,0,2,0,0,0,0,0,1,0
"Reddy, Shri  Uttam Kumar Nalamad",#N/A,Indian National Congress(INC),Nalgonda,Telangana,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,8.58,914,7,0,3,0,72,0,0,0,0,0,0,0,0,0,2,0
"Reddy, Shri Y. S. Avinash",#N/A,Yuvajana Sramika Rythu Congress Party(YSR Congress Party),kadapa,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1,8,1,1,130,249,3,2,0,1,0,0,0,0,0,4
"Rehman, Shri   Haji Fazlu",Male,Bahujan Samaj Party(BSP),Saharanpur,Uttar Pradesh,Information Not Available,Information Not Available,Information not available,23-May-19,In office,First Term,65%,0,294,14,0,5,0,12,0,1,0,1,0,0,0,0,0,0,0
"Revanna, Shri Prajwal",Male,Janata Dal (Secular)(JD(S)),Hassan,Karnataka,Information Not Available,Information Not Available,30,23-May-19,In office,First Term,54%,0,662,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Roy, Dr.  Jayanta Ku",Male,Bharatiya Janata Party(BJP),Jalpaiguri,#N/A,Doctorate,"M.B.B.S., M.D. (Community Medicine), Educated at North Bengal Medical College, (The West Bengal University of Health Sciences)",52,23-May-19,In office,First Term,98%,#N/A,#N/A,8,0,3,0,133,0,1,0,0,0,0,0,0,0,0,0
"Roy, Smt.  Mal",Female,All India Trinamool Congress(AITC),Kolkata Dakshin,West Bengal,Graduate,"B. A. Educated at Calcutta University, West Bengal",62,23-May-19,In office,First Term,69%,10.94,321,12,0,9,0,65,0,0,0,2,0,0,0,0,0,0,0
"Roy, Dr. Rajd",Male,Bharatiya Janata Party(BJP),Silchar,Assam,Doctorate,"M.B.B.S, M.S., M.Ch (Orthopaedics, UK) Educated at Gauhati University and Ninewells Medical School (UK)",50,23-May-19,In office,First Term,94%,0,634,21,0,12,0,20,0,1,0,2,0,0,0,0,0,1,0
"Roy (Banerjee), Smt. Satabdi",Female,All India Trinamool Congress(AITC),Birbhum,West Bengal,Graduate,B.A.,50,23-May-19,In office,Third Term,76%,0,170,10,4,6,0,0,2,0,0,3,1,0,0,0,0,1,10
"Rudy, Shri Rajiv Prat",Male,Bharatiya Janata Party(BJP),Saran,Bihar,Post Graduate,"B.A. (Hons.) (Eco.), M.A. (Eco.), LL.B., Commercial Pilot Licence Educated at St. Michaels High School, Patna (Bihar), Government College and Panjab University, Chandigarh",58,23-May-19,In office,Fourth Term,95%,0,15,51,202,20,15,93,140,1,0,8,9,4,6,0,2,4,10
"Ruhi, Smt. Nusrat Jah",Female,All India Trinamool Congress(AITC),Basirhat,West Bengal,Post Graduate,B. Com (Hons.) Educated at Bhawanipur Gujarati Education Society,30,23-May-19,In office,First Term,28%,0,484,7,0,4,0,51,0,0,0,0,0,0,0,0,0,1,0
"Sadique,  Mohammad",Male,Indian National Congress(INC),Faridkot,#N/A,Under Matric,Under Matric,81,23-May-19,In office,First Term,68%,#N/A,#N/A,7,0,5,0,2,0,0,0,0,0,0,0,0,0,1,0
"Sagar, Shri  Arun Ku",Male,Bharatiya Janata Party(BJP),Shahjahanpur,#N/A,Information Not Available,Information Not Available,44,23-May-19,In office,First Term,94%,#N/A,#N/A,6,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0
"Sahoo, Shri Mahesh",Male,Biju Janata Dal(BJD),Dhenkanal,Odisha,Diploma Course,"Inter Mediate, Diploma in Journalism Educated at Talcher College under Utkal University and Indira Gandhi Open University, Sambalpur",59,23-May-19,In office,First Term,76%,0.62,64,16,0,12,0,31,0,0,0,0,0,0,0,0,0,1,0
"Sahu, Shri Chandra Sekh",Male,Biju Janata Dal(BJD),Berhampur,Odisha,Professional Graduate,"B. Sc. (Hons.) LL B., Educated at Khalikot College, Berhampur University, (Orissa)",70,23-May-19,In office,Second Term,66%,2.26,815,10,0,1,0,135,0,2,0,2,0,0,0,0,0,2,0
"Sahu, Shri Chunni Lal",Male,Bharatiya Janata Party(BJP),Mahasamund,Chhattisgarh,Graduate,Graduate,52,23-May-19,In office,First Term,95%,5.71,523,10,0,1,0,48,0,1,0,0,0,0,0,0,0,1,0
"Sai, Smt. Gomati",Female,Bharatiya Janata Party(BJP),Raigarh,#N/A,Inter/ Higher Secondary,"12th Pass, Educated at Government Inter College, Tapkara, Jashpur, Chhattisgarh",42,23-May-19,In office,First Term,91%,#N/A,#N/A,4,0,3,0,19,0,1,0,0,0,0,0,0,0,1,0
"Samanta, Shri Achyutanand",Male,Biju Janata Dal(BJD),Kandhamal,#N/A,Doctorate,"M.Sc. (Chemistry), Ph.D, Educated at Utkal University, KIIT University, Odisha",56,23-May-19,In office,First Term,81%,#N/A,#N/A,19,0,7,0,59,0,4,0,4,0,0,0,0,0,2,0
"Sangma, Kum. Agatha K",Female,National People's Party(NPP),Tura,Meghalaya,Post Graduate,M.A. (Environmental Management); Diploma in Cyber Laws; Diploma in Corporate Laws; Diploma in Human Rights Laws; Diploma in Securities & Investment Laws,40,23-May-19,In office,Third Term,68%,1.61,422,7,0,1,0,6,0,1,0,1,0,0,0,0,0,1,0
"Sao, Shri Aru",Male,Bharatiya Janata Party(BJP),Bilaspur,Chhattisgarh,Professional Graduate,"B.com and LLB Educated at S.N.G College, Muneli, Dist. Mungeli (Chhattisgarh) and K.R. Law College",51,23-May-19,In office,First Term,99%,14.9,569,14,0,10,0,85,0,2,0,0,0,0,0,0,0,1,0
"Sarangi, Smt. Aparajit",Female,Bharatiya Janata Party(BJP),Bhubaneswar,Odisha,Graduate,"B.A. (English Hons.), Educated at SM College, Bhagalpur University, Bihar",50,23-May-19,In office,First Term,96%,11.25,272,14,0,3,0,67,0,1,0,3,0,0,0,0,0,3,0
"Sarania, Shri Naba (Hira) Ku",Male,Independent(Ind.),Kokrajhar,#N/A,Inter/ Higher Secondary,Higher Secondary,51,23-May-19,In office,Second Term,74%,#N/A,#N/A,11,22,2,11,71,80,0,0,1,0,0,0,0,0,1,7
"Saraswati, Shri Sumedhanand",#N/A,Bharatiya Janata Party(BJP),Sikar,Rajasthan,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,203,38,89,21,54,170,549,1,3,1,2,0,1,0,0,2,5
"Sardinha, Shri Francisco C",Male,Indian National Congress(INC),South Goa,Goa,Professional Graduate,"B.Sc., B.Ed.; Educated at Chowgule College, Bombay University (Maharashtra) ",74,23-May-19,In office,Fourth Term,93%,0,16,6,0,3,0,30,0,0,0,0,0,0,0,0,0,1,0
"Sarkar, Shri  Jagannath",Male,Bharatiya Janata Party(BJP),Ranaghat,#N/A,Graduate,"B.A., B.Ed. (Physical Education) Educated at Calcutta University, Kalyani University",57,23-May-19,In office,First Term,98%,#N/A,#N/A,3,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0
"Sarkar, Dr.  Subh",#N/A,Bharatiya Janata Party(BJP),Bankura,West Bengal,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,10.11,123,28,0,10,0,47,0,1,0,5,0,0,0,0,0,0,0
"Satyanarayana, Shri M V V",Male,Yuvajana Sramika Rythu Congress Party(YSR Congress Party),Visakhapatnam,#N/A,Graduate,"B.A. Educated at Andhra University, Andhra Pradesh",54,23-May-19,In office,First Term,74%,#N/A,#N/A,1,0,1,0,55,0,0,0,0,0,0,0,0,0,1,0
"Saumitra, Shri Kh",Male,Bharatiya Janata Party(BJP),Bishnupur,#N/A,Matric,High School,39,23-May-19,In office,Second Term,89%,#N/A,#N/A,10,12,7,6,12,15,0,0,1,1,0,0,0,0,2,2
"Sawant, Shri Arvind Ganpat",Male,Shiv Sena(SS),Mumbai-South,#N/A,Graduate,B.Sc.,68,23-May-19,In office,Second Term,98%,#N/A,#N/A,45,288,17,184,31,478,0,4,7,33,0,2,0,0,1,10
"Selvam, Shri G",Male,Dravida Munnetra Kazhagam(DMK),Kancheepuram,#N/A,Post Graduate,"M.Com., M.Phil., LL.B., Educated at Pachiyappis College of Men, Kancheepuram, Alagappa University Karaikudi and Sri Venkatesware University, Tirupati, SBRTM Law College, Kadappa",46,23-May-19,In office,First Term,90%,#N/A,#N/A,6,0,4,0,165,0,1,0,0,0,0,0,0,0,1,0
"Selvaraj, Shri Muniy",Male,Communist Party of India(CPI),Nagapattinam,#N/A,Inter/ Higher Secondary,"Pre-University Course (PUC), Educated at Kalaignar Karunanidhi Government Arts College (Now Thiru. Vi. Ka. Govt. Arts College (TVKGAC)",63,23-May-19,In office,Fifth Term,80%,#N/A,#N/A,38,0,11,0,81,0,0,0,10,0,0,0,0,0,1,0
"Sen, Dr.  Jadon Chand",Male,Bharatiya Janata Party(BJP),Firozabad,Uttar Pradesh,Graduate,"B.Sc., Ayurvedacharya",70,23-May-19,In office,First Term,95%,9.95,92,7,0,6,0,8,0,0,0,0,0,0,0,0,0,0,0
"Seth, Shri Sanjay",Male,Bharatiya Janata Party(BJP),Ranchi,Jharkhand,Information not available,Information not available,61,23-May-19,In office,First Term,74%,3.54,202,20,0,10,0,47,0,0,0,1,0,0,0,0,0,3,0
"Sethi, Smt. Sarmistha Kumari",Female,Biju Janata Dal(BJD),Jajpur,#N/A,Information Not Available,Information Not Available,46,23-May-19,In office,First Term,55%,#N/A,#N/A,8,0,2,0,20,0,0,0,4,0,0,0,0,0,1,0
"Shah, Shri Amit Anil Chand",Male,Bharatiya Janata Party(BJP),Gandhinagar,Gujarat,Professional Graduate,B.Sc. (Iind Year) Educated at Gujarat University,55,23-May-19,In office,First Term,N/A,0.05,291,22,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0
"Shah, Smt. Mala Rajya Laxmi",Female,Bharatiya Janata Party(BJP),Tehri Garhwal,Uttarakhand,Inter/ Higher Secondary,"Educated at Convent of Jesus & Mary, Pune and Ratna Rajya Laxmi College, Kathmandu (attended for 2 years)",70,23-May-19,In office,Third Term,95%,0,19,4,32,0,8,43,33,0,0,0,0,0,0,0,0,1,10
"Sharma, Shri  Anu",Male,Bharatiya Janata Party(BJP),Jhansi,Uttar Pradesh,Post Graduate,"B.Com. (Hons), M. Com., OPM Programme, Educated at Hislop College, Nagpur, Bundelkhand University, U.P. and Harvard Business School, Harvard University",55,23-May-19,In office,First Term,98%,0.72,51,21,0,9,0,68,0,1,0,2,0,0,0,1,0,0,0
"Sharma, Dr. Arvind Ku",Male,Bharatiya Janata Party(BJP),Rohtak,Haryana,Post Graduate,"B.D.S., M.D.S.; Eduated at Gujarat University, Ahmedabad, M.D. University, Rohtak",57,23-May-19,In office,Fourth Term,76%,1.49,253,10,0,5,0,40,0,1,0,0,0,0,0,0,0,1,0
"Sharma, Shri Jugal Kish",Male,Bharatiya Janata Party(BJP),Jammu,Jammu & Kashmir,Matric,Matriculation,57,23-May-19,In office,Second Term,99%,0,2,26,88,8,27,81,291,2,3,0,3,0,2,0,1,2,9
"Sharma, Shri Kuldeep Rai",Male,Indian National Congress(INC),Andaman and Nicobar Islands,#N/A,Graduate,"BE Mechanical, MOT Educated at Jadavpur University, Kolkata",53,23-May-19,In office,First Term,79%,#N/A,#N/A,305,0,297,0,264,0,0,0,0,0,0,0,0,0,0,0
"Sharma, Dr. Mahesh",Male,Bharatiya Janata Party(BJP),Gautam Buddha Nagar,Uttar Pradesh,Professional Graduate,M.B.B.S.,61,23-May-19,In office,Second Term,89%,6.32,109,3,82,1,0,0,0,0,0,1,6,0,0,0,0,0,1
"Sharma, Shri Ram Sw",Male,Bharatiya Janata Party(BJP),Mandi,Himachal Pradesh,Matric,10th Class,62,23-May-19,In office,Second Term,98%,0,307,10,20,10,16,3,61,0,0,0,0,0,1,0,0,1,5
"Sharma, Shri Vishnu Datt",#N/A,Bharatiya Janata Party(BJP),Khajuraho,Madhya Pradesh,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,17,12,0,6,0,34,0,1,0,1,0,0,0,0,0,1,0
"Shejwalkar, Shri Vivek Naray",#N/A,Bharatiya Janata Party(BJP),Gwalior,Madhya Pradesh,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.14,3,10,0,3,0,10,0,0,0,0,0,0,0,0,0,1,0
"Shekhawat, Shri Gajendra Singh",Male,Bharatiya Janata Party(BJP),Jodhpur,Rajasthan,Post Graduate,P.G.,52,23-May-19,In office,Second Term,N/A,0.23,104,15,327,0,258,0,313,0,3,10,7,1,2,2,0,0,9
"Shetty, Shri Gopal Chinayy",Male,Bharatiya Janata Party(BJP),Mumbai-North,#N/A,Under Matric,Non-Matric,66,23-May-19,In office,Second Term,100%,#N/A,#N/A,51,161,23,56,117,465,2,4,4,15,7,32,0,5,2,10
"Shinde, Dr. Shrikant Eknath",Male,Shiv Sena(SS),Kalyan,Maharashtra,Professional Post Graduate,"M.B.B.S., MS Orthpaedics (Final Yr.)",33,23-May-19,In office,Second Term,89%,2.42,203,63,141,40,98,228,904,2,3,4,6,4,8,0,0,2,1
"Shiyal, Dr. Bharatiben Dhirubhai",Female,Bharatiya Janata Party(BJP),Bhavnagar,Gujarat,Professional Graduate,B.A.M.S.,56,23-May-19,In office,Second Term,98%,0.09,6,22,33,8,15,95,179,0,2,2,1,0,0,0,0,2,5
"Shrangare, Shri Sudhakar Tuk",#N/A,Bharatiya Janata Party(BJP),Latur,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,26,0,6,0,179,0,1,0,0,0,3,0,0,0,1,0
Shri Durai Murugan Kathir Anand,Male,Dravida Munnetra Kazhagam(DMK),Vellore,Tamil Nadu,Post Graduate,"M.B.A. (USA) International Business Educated at Baldwin Wallace, OHIO, USA",45,09-Aug-19,In office,First Term,79%,1.01,309,8,0,3,0,53,0,0,0,1,0,0,0,0,0,0,0
Shri Gopal Jee Thaku,Male,Bharatiya Janata Party(BJP),Darbhanga,Bihar,Post Graduate,"M.A. (Sociology) Educated at Lalit Narayan Mithila University, Darbhanga, Bihar",50,23-May-19,In office,First Term,99%,0,2,16,0,8,0,63,0,1,0,0,0,0,0,0,0,1,0
Shri Mohan S. Delk,Male,Independent(Ind.),Dadra and Nagar Haveli,#N/A,Graduate,B.A.,57,23-May-19,In office,Seventh Term,85%,#N/A,#N/A,23,0,11,0,14,0,1,0,2,0,0,0,0,0,0,0
Shri Rahul Ramesh Shewal,#N/A,Shiv Sena(SS),Mumbai South-Central,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,66,213,36,157,138,850,2,13,8,11,4,8,0,0,2,6
Shri Ramshiromani V,Male,Bahujan Samaj Party(BSP),Shrawasti,#N/A,Professional Graduate,"B.A., LL.B Educated at Dr. Ram Manohar Lohia Avadh University, Faizabad, Ayodhya, U.P.",45,23-May-19,In office,First Term,98%,#N/A,#N/A,30,0,17,0,5,0,0,0,0,0,0,0,0,0,2,0
Shri Syed Imtiaz Jaleel,Male,All India Majlis-,Aurangabad,Maharashtra,Professional Graduate,"M.Com, M.B.A., M.M.C.J., Educated at Saraswati Bhuvan College, Aurangabad, MGM's Institute of Management, Aurangabad and Dr. Babasaheb Ambedkar Marathwada University, Maharashtra",52,23-May-19,In office,First Term,86%,0,720,26,0,8,0,158,0,3,0,6,0,0,0,0,0,1,0
"Shukla, Shri  Ravi Kish",Male,Bharatiya Janata Party(BJP),Gorakhpur,#N/A,Information Not Available,Information Not Available,51,23-May-19,In office,First Term,85%,#N/A,#N/A,49,0,22,0,163,0,1,0,3,0,5,0,0,0,0,0
"Siddeshwara, Shri Gowdar Mallikarju",Male,Bharatiya Janata Party(BJP),Davanagere,Karnataka,Matric,"Educated at Bheemeshwara Rural Educational Society, Bheemasamudra (Karnataka) ",68,23-May-19,In office,Fourth Term,74%,21.89,663,13,30,7,3,133,258,0,0,0,0,0,0,0,0,2,3
"Sigriwal, Shri Janardan Singh",Male,Bharatiya Janata Party(BJP),Maharajganj,Bihar,Post Graduate,M.A.,61,23-May-19,In office,Second Term,100%,0.07,244,42,95,13,30,102,417,1,5,2,0,5,15,0,0,2,10
"Simha, Shri Prath",Male,Bharatiya Janata Party(BJP),Mysore,Karnataka,Post Graduate,Master in Communication and Journalism,44,23-May-19,In office,Second Term,89%,0,275,7,13,2,6,75,687,0,9,2,0,0,0,0,0,3,2
"Singari, Dr. Sanjeev Ku",Male,Yuvajana Sramika Rythu Congress Party(YSR Congress Party),Kurnool,Andhra Pradesh,Information Not Available,Information Not Available,53,23-May-19,In office,First Term,73%,3.65,1696,2,0,0,0,35,0,0,0,0,0,0,0,0,0,2,0
"Singh, Dr. A",Male,Indian National Congress(INC),Fatehgarh Sahib,#N/A,Professional Graduate,"M.A. Economics, MBBS Educated at Barkhatullah University and Amritsar Medical College, Punjab",67,23-May-19,In office,First Term,99%,#N/A,#N/A,22,0,10,0,65,0,0,0,5,0,0,0,0,0,1,0
"Singh, Shri  Arju",Male,Bharatiya Janata Party(BJP),Barrackpur,West Bengal,Inter/ Higher Secondary,12th (Higher Secondary),58,23-May-19,In office,First Term,98%,0.15,262,13,0,7,0,7,0,0,0,1,0,0,0,0,0,1,0
"Singh, Shri  Atul Ku",Male,Bahujan Samaj Party(BSP),Ghosi,Uttar Pradesh,Graduate,"B.Sc. Educated at Harish Chandra Post Graduate College, Varanasi, Poorvanchal University",38,23-May-19,In office,First Term,3%,0,40,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Singh, Shri Bhol",Male,Bharatiya Janata Party(BJP),Bulandshahr,#N/A,Graduate,Graduate,43,23-May-19,In office,Second Term,99%,#N/A,#N/A,11,11,7,6,193,333,0,4,0,0,0,1,0,0,1,5
"Singh, Shri Brijbhushan Sh",Male,Bharatiya Janata Party(BJP),Kaiserganj,#N/A,Post Graduate,"M.A., LL.B.; Educated at Saket Mahavidyalay, Avadh University, Faizabad (Uttar Pradesh) ",63,23-May-19,In office,Sixth Term,98%,#N/A,#N/A,2,7,0,0,6,22,0,0,0,0,0,0,0,0,1,7
"Singh, Shri Brijend",Male,Bharatiya Janata Party(BJP),Hisar,Haryana,Professional Graduate,"B.A. (Hons.) History, M.A. (Modern History), M.Sc. (Public Policy and Management)",48,23-May-19,In office,First Term,100%,5.91,465,9,0,4,0,18,0,0,0,2,0,0,0,0,0,2,0
"Singh, Shri  Chand",Male,Lok Jan Shakti Party(LJSP),Nawada,Bihar,Graduate,"B. Sc. (Hons) Educated at Magadh University, Bodh Gaya, Bihar",35,23-May-19,In office,First Term,73%,0,331,3,0,1,0,18,0,1,0,0,0,0,0,0,0,1,0
